design,block,model,candidate_id,parameters,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp,fit_seconds,best_pr_auc,delta_from_best_pr_auc,selected
temporal,B,logistic_regression,1,"{""C"": 0.1}",23824,7085,0.29738918737407655,0.646874535922494,0.8306747249049219,0.7827805222300636,0.5632172235198538,0.655090952043468,0.7629178314597358,0.14859113765491846,0.2742215096950531,12438,4301,1539,5546,1.3674002001062036,0.646874535922494,0.0,True
temporal,B,logistic_regression,2,"{""C"": 1.0}",23824,7085,0.29738918737407655,0.6466625285369202,0.8305426207493072,0.778969654199012,0.5647191241174665,0.6547633171194684,0.7624163044876415,0.1486325004973595,0.2780117392539978,12485,4254,1566,5519,1.4271020999876782,0.646874535922494,-0.00021200738557380916,False
temporal,B,logistic_regression,3,"{""C"": 10.0}",23824,7085,0.29738918737407655,0.6468400157237588,0.8306539737510975,0.7904022582921666,0.5587149556021151,0.6546644844517185,0.7630845152503907,0.14859975872351522,0.2659536302089691,12316,4423,1485,5600,1.5234496999764815,0.646874535922494,-3.452019873517731e-05,False
temporal,B,random_forest,1,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,7085,0.29738918737407655,0.626724235910374,0.8234888726891416,0.768242766407904,0.5612497422148897,0.6486325448370375,0.7570229902294613,0.152417310436277,0.2841666666666667,12484,4255,1642,5443,72.23415099992417,0.6587741906872212,-0.032049954776847245,False
temporal,B,random_forest,2,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,7085,0.29738918737407655,0.6304869682410117,0.8259555322420105,0.8064925899788286,0.5429494488787533,0.6489863138167983,0.7595698507573814,0.15148542700068787,0.24694444444444444,11929,4810,1371,5714,219.15755570004694,0.6587741906872212,-0.028287222446209515,False
temporal,B,random_forest,3,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",23824,7085,0.29738918737407655,0.6587741906872212,0.8386882159374681,0.7419901199717713,0.5975221641282109,0.6619656236227413,0.7652241059265034,0.14551052111633242,0.3519588449756025,13198,3541,1828,5257,55.784372599911876,0.6587741906872212,0.0,True
temporal,B,random_forest,4,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,7085,0.29738918737407655,0.6569570106061073,0.8371405643613985,0.7621736062103035,0.582901554404145,0.6605908618264114,0.7656677219175061,0.14597551740378115,0.3292011295479652,12875,3864,1685,5400,45.35270930000115,0.6587741906872212,-0.0018171800811138672,False
temporal,B,xgboost,1,"{""n_estimators"": 100, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,7085,0.29738918737407655,0.6636771544770329,0.8396265922199699,0.7398729710656317,0.5990857142857143,0.6620776760341017,0.7651512534400982,0.1445974864023764,0.3333067297935486,13231,3508,1843,5242,1.24317249993328,0.666332130786749,-0.002654976309716117,False
temporal,B,xgboost,2,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,7085,0.29738918737407655,0.6652788921092598,0.8412227826083072,0.771347918136909,0.5851177730192719,0.6654490106544901,0.7699263038919206,0.1439783586560949,0.30306276679039,12864,3875,1620,5465,1.5794993001036346,0.666332130786749,-0.0010532386774891878,False
temporal,B,xgboost,3,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,7085,0.29738918737407655,0.6537292228034433,0.834393983463919,0.7508821453775583,0.5837814111708548,0.6568712186689715,0.7621427872475939,0.14706257979624,0.3270849585533142,12946,3793,1765,5320,1.2136679999530315,0.666332130786749,-0.012602907983305767,False
temporal,B,xgboost,4,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",23824,7085,0.29738918737407655,0.666332130786749,0.8415736170791523,0.7881439661256175,0.574840436483426,0.66480147627835,0.7707073854165933,0.1438690634198639,0.2836891710758209,12609,4130,1501,5584,1.4361873000161722,0.666332130786749,0.0,True
random,B,logistic_regression,1,"{""C"": 0.1}",23824,6128,0.25721961047683006,0.6311284966967612,0.8434232142709598,0.7552219321148825,0.549578434865218,0.6361949274864251,0.7704398539417089,0.13292069947529686,0.2982387840747833,13903,3793,1500,4628,1.3825532000046223,0.6311518531307924,-2.3356434031174267e-05,False
random,B,logistic_regression,2,"{""C"": 1.0}",23824,6128,0.25721961047683006,0.6311518531307924,0.8434462129336069,0.7460835509138382,0.5552586835074083,0.6366801281158613,0.7695720647878413,0.1329084638656007,0.30903926491737366,14034,3662,1556,4572,1.293077600072138,0.6311518531307924,0.0,True
random,B,logistic_regression,3,"{""C"": 10.0}",23824,6128,0.25721961047683006,0.6309670403638601,0.8433841469757293,0.7668080939947781,0.5438657407407408,0.6363759479956663,0.7720511988961232,0.1329468914256944,0.28755983710289,13755,3941,1429,4699,1.4203796000219882,0.6311518531307924,-0.0001848127669322741,False
random,B,random_forest,1,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.6116868130766175,0.8350163085785341,0.7384138381201044,0.5397828939520458,0.6236648060092344,0.7601992337074301,0.13743532848624204,0.30633333333333335,13838,3858,1603,4525,73.69279060000554,0.643253625358426,-0.031566812281808465,False
random,B,random_forest,2,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.6165950638101485,0.8379060296776071,0.7067558746736292,0.5634920634920635,0.6270450267844216,0.7585825033404312,0.1362973493402079,0.3366666666666667,14341,3355,1797,4331,221.69820850004908,0.643253625358426,-0.026658561548277504,False
random,B,random_forest,3,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.643253625358426,0.84921133399178,0.743635770234987,0.5667910447761194,0.6432806324110671,0.7734058145930811,0.13106700217884906,0.3399175365666454,14213,3483,1571,4557,55.59239420003723,0.643253625358426,0.0,True
random,B,random_forest,4,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.6421875433546042,0.847888634241663,0.7671344647519582,0.5508554019217249,0.6412494884736052,0.7752659213452378,0.1313931363031854,0.31467797715223655,13863,3833,1427,4701,45.658635600004345,0.643253625358426,-0.0010660820038218555,False
random,B,xgboost,1,"{""n_estimators"": 100, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6473131532608626,0.8511602954407834,0.7744778067885117,0.5531468531468532,0.6453630677182486,0.7789093373906393,0.1299044722814685,0.28994157910346985,13862,3834,1382,4746,1.2463384000584483,0.6506764048340465,-0.0033632515731839563,False
random,B,xgboost,2,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6493015295787538,0.8520979981314832,0.7147519582245431,0.5895020188425303,0.6461129960171117,0.771198311842832,0.1294460745856331,0.35839906334877014,14646,3050,1748,4380,1.5848942999728024,0.6506764048340465,-0.0013748752552927845,False
random,B,xgboost,3,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6397117719596009,0.8465372783792062,0.7514686684073107,0.5600145932141554,0.641767124242213,0.7735078423410875,0.13171754720193682,0.3235694169998169,14078,3618,1523,4605,1.1979646999388933,0.6506764048340465,-0.010964632874445601,False
random,B,xgboost,4,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",23824,6128,0.25721961047683006,0.6506764048340465,0.8525248612407872,0.726990861618799,0.5811374902165406,0.645933014354067,0.7727687129070486,0.12938477134456633,0.34557846188545227,14485,3211,1673,4455,1.4002017999300733,0.6506764048340465,0.0,True
